"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	RT @FCShakhtar: 🇺🇦 Зворушливий виступ Олі Полякової і танцюристів Софії Альби та Кирила Новікова в перерві благодійного матчу «Хайдук» – «Ш…"								
"ru	В Финляндии дата-центр «Яндекса» лишили электропитания https://t.co/Bd82MusWca #Ukraine #Russia"								
"ru	""RT @S_vivat: Типичный гражданин РФ"	" представитель и носитель """"русского мира"""" - это великодержавный шовинист"	" имперец и фашист. Русский мир…"""						
"uk	RT @mil_in_ua: В тимчасово окупованому Росією місті Донецьк спалахнула місцева нафтобаза  Фото та відео пожежі публікують у соціальних мере…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	#Russia #RussianUkrainianWar #RussianNatoWar #WarinUkraine #Ukraine #UkraineRussianWar #NatoRussianWar #nato #usa #bulgaria 🇷🇺 🇷🇺 🇷🇺 🇷🇺 🇷🇺 🇷🇺 Работайте"	 братья! https://t.co/8ZcvEMIePN							
"ru	В результате украинского обстрела в Кировском районе Донецка загорелась нефтебаза🇷🇺🇺🇦видео с Кировского района #Донецка   #Донецк #Donieck #Donetsk #Donbas #Donbass #WARINUKRAINE #war #wojna #StopWar #makelovenotwar #Ukraine #Ukraina #UkraineWar #ucrania #Russia https://t.co/66cubh7NgW"								
"ru	Хакеры Anonymous заявили о взломе большой российской энергокомпании и сливе 10 млн файлов и писем россиян https://t.co/4pfFzTyaNO #Украина #россия #Ukraine #UkraineRussianWar"								
"uk	RT @mil_in_ua: 🇺🇦 У вільному доступі з’явилося відео"	 як Збройні Сили України з ПТРК уразили другий російський вертоліт Ка-52  Повідомлено	…						
"ru	Харьков сейчас...  #Харьков  #Kharkov #Kharkiv #Харків #StopRussia #StopPutinNOW #UkraineRussiaWar #Ukraine  #Genocideinukraine #StandUpForUkraine #StopRussia https://t.co/rJZ8RrZmeT"								
"uk	Моя сестра також вигравала різне в лотереях"	 від косметики до спідниці	 навіть кулон	 лівчик	 набір з приготування йогурту в домашніх умовах	 який був дуже смачний 🤤  #УкрТві #Львів #Lviv #Ukraine #Україна			
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
