('http://www.cs.jhu.edu/~yarowsky/', 'David Yarowsky')
('http://www.cs.jhu.edu/~yarowsky/466.officehours.html', 'TA/CA Office Hours and Contact Information')
('http://www.cs.jhu.edu/~yarowsky/601.466.on.exam.txt', 'Topics on Exam')
('http://www.cs.jhu.edu/~yarowsky/cs466slides/', 'Link to Course Slides (except Weka or textbook slides, below)')
('https://piazza.com/class/kkd71cwi2045h0', 'Piazza link')
('http://www.cs.jhu.edu/~yarowsky/cs466.pdf', 'PDF version')
('http://nlp.stanford.edu/IR-book/information-retrieval-book.html', 'Introduction to Information Retrieval')
('http://www.sims.berkeley.edu/~hearst/irbook/', '')
('http://www.oreilly.com/openbook/webclient/', 'Web Client Programming')
('http://HTTP.CS.Berkeley.EDU/~fccheong/book/book.html', '')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw1.pdf', 'Homework #1 (due 2/11/22 and 2/18/22 - correct dates)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw1.zip', 'Homework #1 (sample code and training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw2.pdf', 'Homework #2 (due 3/04/22 and 3/11/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw2.zip', 'Homework #2 (sample code and training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw3.pdf', 'Homework #3 (due 3/18/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw3.zip', 'Homework #3 (training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw4.pdf', 'Homework #4 (due 4/5/22)')
('http://www.cs.jhu.edu/~yarowsky/HW4-starter.zip', 'Homework #4 .py starter code in zip file (due 4/5/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.pr.pdf', 'Final Project')
('http://prdownloads.sourceforge.net/weka/weka.ppt', 'Weka overview presentation from class')
('http://www.cs.waikato.ac.nz/ml/weka/index.html', 'Weka download and documentation page')
('http://kvtr.elte.hu/harvest/user-manual.html', 'Harvest User Manual (HTML mirror)')
('http://citeseer.nj.nec.com/hardy95harvest.html', 'Harvest User Manual (PS + PDF via Citeseer)')
('http://www.w3.org/pub/WWW/Protocols/', 'HTTP - WWW protocols')
